ID,official_name,type,text_subchapters,illustrations,synonyms,Label
ID082,Copaliyac-xiuhtontli,plant,07i; 07m,,,"Copalli/incense; Xihuitl/herbs, green leaves"
ID083,Copal-quahuitl,plant,01d,,,Copalli/incense; Quahuitl/tree or wood
ID084,Copal-xocotl,plant,10k,,,Copalli/incense; Xocotl/sour fruit
ID085,Coyo-xihuitl,plant,08g; 08j; 09e; 09g; 09l,p061_01,coyo-xihuitl tlaztalehualtic,"Coyotl/coyote; Xihuitl/herbs, green leaves"
ID086,Coz-canantzi,plant,,p067_03,,NA
ID087,Cuecuetz-patli,plant,09h,,,Patli/medicine
ID088,Chian,plant,08c,,,NA
ID089,Chichic texcal-amatl,plant,,p078_01,,Amatl/paper; Chichic/bitter; Texcal/stone or cliff
ID090,Chichiltic xiuhtontli,plant,11e,,,"Chichiltic/red; Xihuitl/herbs, green leaves"
ID091,Chicom-acatl,plant,09f,,chicom-catl,Acatl/reed
ID092,Chipauac xihuitl,plant,01b,p008_01,chipauac,"Xihuitl/herbs, green leaves"
ID093,Chiyava xihuitl,plant,10g,p100_01,chiyava-xihuitl,"Xihuitl/herbs, green leaves"
ID094,Huacal-xochitl,plant,02b; 05e; 07b; 08l; 10k,p030_01,huacal xochitl,Xochitl/flower
ID096,Tlal-huaxin,plant,08a,,,Tlal/earth or ground
ID097,Huelic-patli,plant,07n,,,Patli/medicine
ID098,Huetzcani xochitl,plant,,p067_11,,Xochitl/flower
ID099,Huey-nacaztli,plant,08l; 10k,,,NA
ID100,Huitz-colotli,plant,05h,p033_02,huitz-colo-xochitl; huitz-colohtli,Huitz/needle or thorn
ID101,Huihuitz-mallotic,plant,07j; 08c,,huitz-mallotic,Huitz/needle or thorn
ID103,Huitz-quilitl,plant,01d; 09e; 09p,p010_02,,Huitz/needle or thorn; Quilitl/edible green
ID104,Quauhtla huitz-quilitl,plant,07m; 09a,p073_01,,Huitz/needle or thorn; Quahuitl/tree or wood; Quilitl/edible green
ID105,Huitzihtzil-xochitl,plant,08k; 12a,p066_01,huitzihtzil xochitl; huitzitzil-xochitl,Huitzihtzil/colibri; Xochitl/flower
ID106,Macpal-xochitl,plant,08a,,,Xochitl/flower
ID107,Malinalli,plant,02e; 05h; 11c,p018_01,,NA
ID108,Mamaxtla,plant,08c; 08d,,,NA
ID109,Mamaxtla-nelhuatl,plant,09b,,,NA
ID110,Matlal-xochitl,plant,02b,p014_02,,Xochitl/flower
ID112,Maza-yelli,plant,03a,p022_01,,NA
ID113,Meca-xochitl,plant,08l; 10k,p104_01,,"Mecatl/cord, rope, or vine; Xochitl/flower"
ID114,Memeya xiuhtontli,plant,,p111_02,memeya xihuitl,"Xihuitl/herbs, green leaves"
ID115,Metzli-yzacauh,plant,,p067_10,metzli yzacauh,NA
ID116,Mexix-quilitl,plant,06a,,,Quilitl/edible green
ID117,Michi-huauhtli,plant,12a,,,Michi/fish
ID118,Mizquitl,plant,02b,,,Misquitl/mesquite
ID119,Mocuepani-xochitl,plant,,p067_05,mocuepani xochitl,Xochitl/flower
ID120,Necouh xochitl,plant,,p097_02,,Xochitl/flower
ID121,Nexehuac,plant,07e,p049_02,,NA
