ID,official_name,type,subchapter_code,language,synonym_found,morphemes,illustrations,master_sheet_subchapters_linked
ID023,Tepe-ylin,plant,08l,spanish,tepe-ylin,Tepe/hill or mountain,nan,08l
ID024,Quetzal-ylin,plant,07k,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07k,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07l,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,07l,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,08l,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,08l,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,09i,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,09i,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,09m,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,09m,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,13a,english,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID024,Quetzal-ylin,plant,13a,spanish,quetzal-ylin,"Quetzal/precious, feathered, or green",p069_10,07k; 07l; 08l; 09i; 09m; 13a
ID025,Ayo-nelhuatl,plant,11c,english,ayo-nelhuatl,nan,p109_02,11c
ID025,Ayo-nelhuatl,plant,11c,spanish,ayo-nelhuatl,nan,p109_02,11c
ID028,Eca-patli,plant,01a,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,01a,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,05h,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,05h,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,06d,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,06d,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,06e,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,06e,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08j,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08j,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08k,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08k,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08l,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,08l,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,09b,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,09b,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,09p,english,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,09p,spanish,eca-patli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,10b,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,10b,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,10f,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,10f,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,12a,english,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID028,Eca-patli,plant,12a,spanish,xiuh-ecapatli,Ecatl/wind; Patli/medicine,p007_01; p065_01,01a; 05h; 06d; 06e; 08j; 08k; 08l; 09b; 09p; 10b; 10f; 12a
ID030,Elo-xochitl,plant,08l,english,elo-xochitl,Elotl/fresh maize ear; Xochitl/flower,p069_08,08l
ID030,Elo-xochitl,plant,08l,spanish,elo-xochitl,Elotl/fresh maize ear; Xochitl/flower,p069_08,08l
ID031,Xiuh-elo-quilitl,plant,11c,english,xiuh-eloquilitl,"Elotl/fresh maize ear; Quilitl/edible green; Xihuitl/herbs, green leaves",p108_01,11c
ID031,Xiuh-elo-quilitl,plant,11c,spanish,xiuh-eloquilitl,"Elotl/fresh maize ear; Quilitl/edible green; Xihuitl/herbs, green leaves",p108_01,11c
ID032,Elo-zacatl,plant,07l,english,elo-zacatl,Elotl/fresh maize ear; Zacatl/grass,nan,07l; 11d
ID032,Elo-zacatl,plant,07l,spanish,elo-zacatl,Elotl/fresh maize ear; Zacatl/grass,nan,07l; 11d
ID032,Elo-zacatl,plant,11d,english,elo-zacatl,Elotl/fresh maize ear; Zacatl/grass,nan,07l; 11d
ID032,Elo-zacatl,plant,11d,spanish,elo-zacatl,Elotl/fresh maize ear; Zacatl/grass,nan,07l; 11d
ID036,Iztac huitz-quahuitl,plant,11c,english,iztac huitz-quahuitl,Huitz/needle or thorn; Iztac/white; Quahuitl/tree or wood,p109_01,11c
ID036,Iztac huitz-quahuitl,plant,11c,spanish,iztac huitz-quahuitl,Huitz/needle or thorn; Iztac/white; Quahuitl/tree or wood,p109_01,11c
ID037,Huitz-quahuitl,plant,08l,english,huitz-quahuitl,Huitz/needle or thorn; Quahuitl/tree or wood,p068_07,08l; 09d
ID037,Huitz-quahuitl,plant,08l,spanish,huitz-quahuitl,Huitz/needle or thorn; Quahuitl/tree or wood,p068_07,08l; 09d
ID037,Huitz-quahuitl,plant,09d,english,huitz-quahuitl,Huitz/needle or thorn; Quahuitl/tree or wood,p068_07,08l; 09d
ID037,Huitz-quahuitl,plant,09d,spanish,huitz-quahuitl,Huitz/needle or thorn; Quahuitl/tree or wood,p068_07,08l; 09d
ID039,Iztac-patli,plant,04b,english,iztac-patli,Iztac/white; Patli/medicine,p025_01,04b
ID039,Iztac-patli,plant,04b,spanish,iztac-patli,Iztac/white; Patli/medicine,p025_01,04b
ID041,Teo-iztaquilitl,plant,05f,english,teo-iztac-quilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,05f,spanish,teo-iztac-quilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,07b,english,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,07b,spanish,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,07h,english,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,07h,spanish,teo-iztaquilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
ID041,Teo-iztaquilitl,plant,09b,english,teo-iztacuilitl,Iztac/white; Quilitl/edible green; Teo/divine,p031_01; p051_01,05f; 07b; 07h; 09b; 09e
